spp_gp,name,rank,id,error,db
abdopus tenebricus,Octopoda,order,11718,FALSE,worms
abdopus tenebricus,Incirrata,suborder,11733,FALSE,worms
abdopus tenebricus,Octopodoidea,superfamily,14672,FALSE,worms
abdopus tenebricus,Octopodidae,family,11782,FALSE,worms
abdopus tenebricus,Abdopus,genus,409947,FALSE,worms
abdopus tenebricus,Abdopus tenebricus,species,874525,FALSE,worms
abdopus tonganus,Animalia,kingdom,2,FALSE,worms
abdopus tonganus,Mollusca,phylum,51,FALSE,worms
abdopus tonganus,Cephalopoda,class,11707,FALSE,worms
abdopus tonganus,Coleoidea,subclass,11709,FALSE,worms
abdopus tonganus,Octopodiformes,superorder,325343,FALSE,worms
abdopus tonganus,Octopoda,order,11718,FALSE,worms
abdopus tonganus,Incirrata,suborder,11733,FALSE,worms
abdopus tonganus,Octopodoidea,superfamily,14672,FALSE,worms
abdopus tonganus,Octopodidae,family,11782,FALSE,worms
abdopus tonganus,Abdopus,genus,409947,FALSE,worms
abdopus tonganus,Abdopus tonganus,species,534519,FALSE,worms
abdopus undulatus,Animalia,kingdom,2,FALSE,worms
abdopus undulatus,Mollusca,phylum,51,FALSE,worms
abdopus undulatus,Cephalopoda,class,11707,FALSE,worms
abdopus undulatus,Coleoidea,subclass,11709,FALSE,worms
abdopus undulatus,Octopodiformes,superorder,325343,FALSE,worms
abdopus undulatus,Octopoda,order,11718,FALSE,worms
abdopus undulatus,Incirrata,suborder,11733,FALSE,worms
abdopus undulatus,Octopodoidea,superfamily,14672,FALSE,worms
abdopus undulatus,Octopodidae,family,11782,FALSE,worms
abdopus undulatus,Abdopus,genus,409947,FALSE,worms
abdopus undulatus,Abdopus undulatus,species,409948,FALSE,worms
abralia,Animalia,kingdom,2,FALSE,worms
abralia,Mollusca,phylum,51,FALSE,worms
abralia,Cephalopoda,class,11707,FALSE,worms
abralia,Coleoidea,subclass,11709,FALSE,worms
abralia,Decapodiformes,superorder,325342,FALSE,worms
abralia,Oegopsida,order,11730,FALSE,worms
abralia,Onychoteuthoidea,superfamily,1454593,FALSE,worms
abralia,Enoploteuthidae,family,11740,FALSE,worms
abralia,Abralia,genus,137930,FALSE,worms
abraliopsis,Animalia,kingdom,2,FALSE,worms
abraliopsis,Mollusca,phylum,51,FALSE,worms
abraliopsis,Cephalopoda,class,11707,FALSE,worms
abraliopsis,Coleoidea,subclass,11709,FALSE,worms
abraliopsis,Decapodiformes,superorder,325342,FALSE,worms
abraliopsis,Oegopsida,order,11730,FALSE,worms
abraliopsis,Onychoteuthoidea,superfamily,1454593,FALSE,worms
abraliopsis,Enoploteuthidae,family,11740,FALSE,worms
abraliopsis,Abraliopsis,genus,137931,FALSE,worms
adelieledone adelieana,Animalia,kingdom,2,FALSE,worms
adelieledone adelieana,Mollusca,phylum,51,FALSE,worms
adelieledone adelieana,Cephalopoda,class,11707,FALSE,worms
adelieledone adelieana,Coleoidea,subclass,11709,FALSE,worms
adelieledone adelieana,Octopodiformes,superorder,325343,FALSE,worms
adelieledone adelieana,Octopoda,order,11718,FALSE,worms
adelieledone adelieana,Incirrata,suborder,11733,FALSE,worms
adelieledone adelieana,Octopodoidea,superfamily,14672,FALSE,worms
adelieledone adelieana,Megaleledonidae,family,834050,FALSE,worms
adelieledone adelieana,Adelieledone,genus,325316,FALSE,worms
adelieledone adelieana,Adelieledone adelieana,species,325317,FALSE,worms
adelieledone piatkowski,Animalia,kingdom,2,FALSE,worms
adelieledone piatkowski,Mollusca,phylum,51,FALSE,worms
adelieledone piatkowski,Cephalopoda,class,11707,FALSE,worms
adelieledone piatkowski,Coleoidea,subclass,11709,FALSE,worms
adelieledone piatkowski,Octopodiformes,superorder,325343,FALSE,worms
adelieledone piatkowski,Octopoda,order,11718,FALSE,worms
adelieledone piatkowski,Incirrata,suborder,11733,FALSE,worms
adelieledone piatkowski,Octopodoidea,superfamily,14672,FALSE,worms
adelieledone piatkowski,Megaleledonidae,family,834050,FALSE,worms
adelieledone piatkowski,Adelieledone,genus,325316,FALSE,worms
adelieledone piatkowski,Adelieledone piatkowski,species,325318,FALSE,worms
afrololigo mercatoris,Animalia,kingdom,2,FALSE,worms
afrololigo mercatoris,Mollusca,phylum,51,FALSE,worms
afrololigo mercatoris,Cephalopoda,class,11707,FALSE,worms
afrololigo mercatoris,Coleoidea,subclass,11709,FALSE,worms
afrololigo mercatoris,Decapodiformes,superorder,325342,FALSE,worms
afrololigo mercatoris,Myopsida,order,11728,FALSE,worms
afrololigo mercatoris,Loliginidae,family,11734,FALSE,worms
afrololigo mercatoris,Afrololigo,genus,410040,FALSE,worms
afrololigo mercatoris,Afrololigo mercatoris,species,410041,FALSE,worms
allonautilus,Animalia,kingdom,2,FALSE,worms
allonautilus,Mollusca,phylum,51,FALSE,worms
allonautilus,Cephalopoda,class,11707,FALSE,worms
allonautilus,Nautiloidea,subclass,153043,FALSE,worms
allonautilus,Nautilida,order,153046,FALSE,worms
allonautilus,Nautilidae,family,153112,FALSE,worms
allonautilus,Allonautilus,genus,341404,FALSE,worms
alloteuthis,Animalia,kingdom,2,FALSE,worms
alloteuthis,Mollusca,phylum,51,FALSE,worms
alloteuthis,Cephalopoda,class,11707,FALSE,worms
alloteuthis,Coleoidea,subclass,11709,FALSE,worms
alloteuthis,Decapodiformes,superorder,325342,FALSE,worms
alloteuthis,Myopsida,order,11728,FALSE,worms
alloteuthis,Loliginidae,family,11734,FALSE,worms
alloteuthis,Alloteuthis,genus,138138,FALSE,worms
alluroteuthis antarcticus,Animalia,kingdom,2,FALSE,worms
alluroteuthis antarcticus,Mollusca,phylum,51,FALSE,worms
alluroteuthis antarcticus,Cephalopoda,class,11707,FALSE,worms
alluroteuthis antarcticus,Coleoidea,subclass,11709,FALSE,worms
alluroteuthis antarcticus,Decapodiformes,superorder,325342,FALSE,worms
alluroteuthis antarcticus,Oegopsida,order,11730,FALSE,worms
alluroteuthis antarcticus,Onychoteuthoidea,superfamily,1454593,FALSE,worms
alluroteuthis antarcticus,Neoteuthidae,family,153031,FALSE,worms
alluroteuthis antarcticus,Alluroteuthis,genus,325301,FALSE,worms
alluroteuthis antarcticus,Alluroteuthis antarcticus,species,325302,FALSE,worms
ameloctopus litoralis,Animalia,kingdom,2,FALSE,worms
ameloctopus litoralis,Mollusca,phylum,51,FALSE,worms
ameloctopus litoralis,Cephalopoda,class,11707,FALSE,worms
ameloctopus litoralis,Coleoidea,subclass,11709,FALSE,worms
ameloctopus litoralis,Octopodiformes,superorder,325343,FALSE,worms
ameloctopus litoralis,Octopoda,order,11718,FALSE,worms
ameloctopus litoralis,Incirrata,suborder,11733,FALSE,worms
ameloctopus litoralis,Octopodoidea,superfamily,14672,FALSE,worms
ameloctopus litoralis,Octopodidae,family,11782,FALSE,worms
ameloctopus litoralis,Ameloctopus,genus,341405,FALSE,worms
ameloctopus litoralis,Ameloctopus litoralis,species,342270,FALSE,worms
amphioctopus,Animalia,kingdom,2,FALSE,worms
amphioctopus,Mollusca,phylum,51,FALSE,worms
amphioctopus,Cephalopoda,class,11707,FALSE,worms
amphioctopus,Coleoidea,subclass,11709,FALSE,worms
amphioctopus,Octopodiformes,superorder,325343,FALSE,worms
amphioctopus,Octopoda,order,11718,FALSE,worms
amphioctopus,Incirrata,suborder,11733,FALSE,worms
amphioctopus,Octopodoidea,superfamily,14672,FALSE,worms
amphioctopus,Octopodidae,family,11782,FALSE,worms
amphioctopus,Amphioctopus,genus,341406,FALSE,worms
amphioctopus aegina,Animalia,kingdom,2,FALSE,worms
amphioctopus aegina,Mollusca,phylum,51,FALSE,worms
amphioctopus aegina,Cephalopoda,class,11707,FALSE,worms
amphioctopus aegina,Coleoidea,subclass,11709,FALSE,worms
amphioctopus aegina,Octopodiformes,superorder,325343,FALSE,worms
amphioctopus aegina,Octopoda,order,11718,FALSE,worms
amphioctopus aegina,Incirrata,suborder,11733,FALSE,worms
amphioctopus aegina,Octopodoidea,superfamily,14672,FALSE,worms
amphioctopus aegina,Octopodidae,family,11782,FALSE,worms
amphioctopus aegina,Amphioctopus,genus,341406,FALSE,worms
amphioctopus aegina,Amphioctopus aegina,species,534097,FALSE,worms
amphioctopus arenicola,Animalia,kingdom,2,FALSE,worms
amphioctopus arenicola,Mollusca,phylum,51,FALSE,worms
amphioctopus arenicola,Cephalopoda,class,11707,FALSE,worms
amphioctopus arenicola,Coleoidea,subclass,11709,FALSE,worms
amphioctopus arenicola,Octopodiformes,superorder,325343,FALSE,worms
amphioctopus arenicola,Octopoda,order,11718,FALSE,worms
amphioctopus arenicola,Incirrata,suborder,11733,FALSE,worms
amphioctopus arenicola,Octopodoidea,superfamily,14672,FALSE,worms
amphioctopus arenicola,Octopodidae,family,11782,FALSE,worms
amphioctopus arenicola,Amphioctopus,genus,341406,FALSE,worms
amphioctopus arenicola,Amphioctopus arenicola,species,342271,FALSE,worms
amphioctopus burryi,Animalia,kingdom,2,FALSE,worms
amphioctopus burryi,Mollusca,phylum,51,FALSE,worms
amphioctopus burryi,Cephalopoda,class,11707,FALSE,worms
amphioctopus burryi,Coleoidea,subclass,11709,FALSE,worms
amphioctopus burryi,Octopodiformes,superorder,325343,FALSE,worms
amphioctopus burryi,Octopoda,order,11718,FALSE,worms
amphioctopus burryi,Incirrata,suborder,11733,FALSE,worms
amphioctopus burryi,Octopodoidea,superfamily,14672,FALSE,worms
amphioctopus burryi,Octopodidae,family,11782,FALSE,worms
amphioctopus burryi,Amphioctopus,genus,341406,FALSE,worms
amphioctopus burryi,Amphioctopus burryi,species,420653,FALSE,worms
graneledone macrotyla,Animalia,kingdom,2,FALSE,worms
graneledone macrotyla,Mollusca,phylum,51,FALSE,worms
graneledone macrotyla,Cephalopoda,class,11707,FALSE,worms
graneledone macrotyla,Coleoidea,subclass,11709,FALSE,worms
graneledone macrotyla,Octopodiformes,superorder,325343,FALSE,worms
graneledone macrotyla,Octopoda,order,11718,FALSE,worms
graneledone macrotyla,Incirrata,suborder,11733,FALSE,worms
graneledone macrotyla,Octopodoidea,superfamily,14672,FALSE,worms
graneledone macrotyla,Megaleledonidae,family,834050,FALSE,worms
graneledone macrotyla,Graneledone,genus,157018,FALSE,worms
graneledone macrotyla,Graneledone macrotyla,species,342225,FALSE,worms
graneledone taniwha,Animalia,kingdom,2,FALSE,worms
graneledone taniwha,Mollusca,phylum,51,FALSE,worms
graneledone taniwha,Cephalopoda,class,11707,FALSE,worms
graneledone taniwha,Coleoidea,subclass,11709,FALSE,worms
graneledone taniwha,Octopodiformes,superorder,325343,FALSE,worms
graneledone taniwha,Octopoda,order,11718,FALSE,worms
graneledone taniwha,Incirrata,suborder,11733,FALSE,worms
graneledone taniwha,Octopodoidea,superfamily,14672,FALSE,worms
graneledone taniwha,Megaleledonidae,family,834050,FALSE,worms
graneledone taniwha,Graneledone,genus,157018,FALSE,worms
graneledone taniwha,Graneledone taniwha,species,342226,FALSE,worms
graneledone verrucosa,Animalia,kingdom,2,FALSE,worms
graneledone verrucosa,Mollusca,phylum,51,FALSE,worms
graneledone verrucosa,Cephalopoda,class,11707,FALSE,worms
graneledone verrucosa,Coleoidea,subclass,11709,FALSE,worms
graneledone verrucosa,Octopodiformes,superorder,325343,FALSE,worms
graneledone verrucosa,Octopoda,order,11718,FALSE,worms
graneledone verrucosa,Incirrata,suborder,11733,FALSE,worms
graneledone verrucosa,Octopodoidea,superfamily,14672,FALSE,worms
graneledone verrucosa,Megaleledonidae,family,834050,FALSE,worms
graneledone verrucosa,Graneledone,genus,157018,FALSE,worms
graneledone verrucosa,Graneledone verrucosa,species,157019,FALSE,worms
graneledone yamana,Animalia,kingdom,2,FALSE,worms
graneledone yamana,Mollusca,phylum,51,FALSE,worms
graneledone yamana,Cephalopoda,class,11707,FALSE,worms
graneledone yamana,Coleoidea,subclass,11709,FALSE,worms
graneledone yamana,Octopodiformes,superorder,325343,FALSE,worms
graneledone yamana,Octopoda,order,11718,FALSE,worms
graneledone yamana,Incirrata,suborder,11733,FALSE,worms
graneledone yamana,Octopodoidea,superfamily,14672,FALSE,worms
graneledone yamana,Megaleledonidae,family,834050,FALSE,worms
graneledone yamana,Graneledone,genus,157018,FALSE,worms
graneledone yamana,Graneledone yamana,species,342227,FALSE,worms
grimalditeuthis,Animalia,kingdom,2,FALSE,worms
grimalditeuthis,Mollusca,phylum,51,FALSE,worms
grimalditeuthis,Cephalopoda,class,11707,FALSE,worms
grimalditeuthis,Coleoidea,subclass,11709,FALSE,worms
grimalditeuthis,Decapodiformes,superorder,325342,FALSE,worms
grimalditeuthis,Oegopsida,order,11730,FALSE,worms
grimalditeuthis,Chiroteuthoidea,superfamily,1454594,FALSE,worms
grimalditeuthis,Chiroteuthidae,family,11767,FALSE,worms
grimalditeuthis,Grimalditeuthis,genus,238741,FALSE,worms
grimpella thaumastocheir,Animalia,kingdom,2,FALSE,worms
grimpella thaumastocheir,Mollusca,phylum,51,FALSE,worms
grimpella thaumastocheir,Cephalopoda,class,11707,FALSE,worms
grimpella thaumastocheir,Coleoidea,subclass,11709,FALSE,worms
grimpella thaumastocheir,Octopodiformes,superorder,325343,FALSE,worms
grimpella thaumastocheir,Octopoda,order,11718,FALSE,worms
grimpella thaumastocheir,Incirrata,suborder,11733,FALSE,worms
grimpella thaumastocheir,Octopodoidea,superfamily,14672,FALSE,worms
grimpella thaumastocheir,Octopodidae,family,11782,FALSE,worms
grimpella thaumastocheir,Grimpella,genus,341429,FALSE,worms
grimpella thaumastocheir,Grimpella thaumastocheir,species,342331,FALSE,worms
grimpoteuthis abyssicola,Animalia,kingdom,2,FALSE,worms
grimpoteuthis abyssicola,Mollusca,phylum,51,FALSE,worms
grimpoteuthis abyssicola,Cephalopoda,class,11707,FALSE,worms
grimpoteuthis abyssicola,Coleoidea,subclass,11709,FALSE,worms
grimpoteuthis abyssicola,Octopodiformes,superorder,325343,FALSE,worms
grimpoteuthis abyssicola,Octopoda,order,11718,FALSE,worms
grimpoteuthis abyssicola,Cirrata,suborder,11732,FALSE,worms
grimpoteuthis abyssicola,Opisthoteuthidae,family,23083,FALSE,worms
grimpoteuthis abyssicola,Grimpoteuthis,genus,138293,FALSE,worms
grimpoteuthis abyssicola,Grimpoteuthis abyssicola,species,342079,FALSE,worms
grimpoteuthis bathynectes,Animalia,kingdom,2,FALSE,worms
grimpoteuthis bathynectes,Mollusca,phylum,51,FALSE,worms
grimpoteuthis bathynectes,Cephalopoda,class,11707,FALSE,worms
grimpoteuthis bathynectes,Coleoidea,subclass,11709,FALSE,worms
grimpoteuthis bathynectes,Octopodiformes,superorder,325343,FALSE,worms
grimpoteuthis bathynectes,Octopoda,order,11718,FALSE,worms
grimpoteuthis bathynectes,Cirrata,suborder,11732,FALSE,worms
grimpoteuthis bathynectes,Opisthoteuthidae,family,23083,FALSE,worms
grimpoteuthis bathynectes,Grimpoteuthis,genus,138293,FALSE,worms
grimpoteuthis bathynectes,Grimpoteuthis bathynectes,species,342082,FALSE,worms
grimpoteuthis boylei,Animalia,kingdom,2,FALSE,worms
grimpoteuthis boylei,Mollusca,phylum,51,FALSE,worms
grimpoteuthis boylei,Cephalopoda,class,11707,FALSE,worms
grimpoteuthis boylei,Coleoidea,subclass,11709,FALSE,worms
grimpoteuthis boylei,Octopodiformes,superorder,325343,FALSE,worms
grimpoteuthis boylei,Octopoda,order,11718,FALSE,worms
grimpoteuthis boylei,Cirrata,suborder,11732,FALSE,worms
grimpoteuthis boylei,Opisthoteuthidae,family,23083,FALSE,worms
grimpoteuthis boylei,Grimpoteuthis,genus,138293,FALSE,worms
grimpoteuthis boylei,Grimpoteuthis boylei,species,153093,FALSE,worms
grimpoteuthis challengeri,Animalia,kingdom,2,FALSE,worms
grimpoteuthis challengeri,Mollusca,phylum,51,FALSE,worms
grimpoteuthis challengeri,Cephalopoda,class,11707,FALSE,worms
grimpoteuthis challengeri,Coleoidea,subclass,11709,FALSE,worms
grimpoteuthis challengeri,Octopodiformes,superorder,325343,FALSE,worms
grimpoteuthis challengeri,Octopoda,order,11718,FALSE,worms
grimpoteuthis challengeri,Cirrata,suborder,11732,FALSE,worms
grimpoteuthis challengeri,Opisthoteuthidae,family,23083,FALSE,worms
grimpoteuthis challengeri,Grimpoteuthis,genus,138293,FALSE,worms
grimpoteuthis challengeri,Grimpoteuthis challengeri,species,153073,FALSE,worms
grimpoteuthis discoveryi,Animalia,kingdom,2,FALSE,worms
grimpoteuthis discoveryi,Mollusca,phylum,51,FALSE,worms
grimpoteuthis discoveryi,Cephalopoda,class,11707,FALSE,worms
grimpoteuthis discoveryi,Coleoidea,subclass,11709,FALSE,worms
grimpoteuthis discoveryi,Octopodiformes,superorder,325343,FALSE,worms
grimpoteuthis discoveryi,Octopoda,order,11718,FALSE,worms
grimpoteuthis discoveryi,Cirrata,suborder,11732,FALSE,worms
grimpoteuthis discoveryi,Opisthoteuthidae,family,23083,FALSE,worms
grimpoteuthis discoveryi,Grimpoteuthis,genus,138293,FALSE,worms
grimpoteuthis discoveryi,Grimpoteuthis discoveryi,species,153084,FALSE,worms
grimpoteuthis hippocrepium,Animalia,kingdom,2,FALSE,worms
grimpoteuthis hippocrepium,Mollusca,phylum,51,FALSE,worms
grimpoteuthis hippocrepium,Cephalopoda,class,11707,FALSE,worms
grimpoteuthis hippocrepium,Coleoidea,subclass,11709,FALSE,worms
grimpoteuthis hippocrepium,Octopodiformes,superorder,325343,FALSE,worms
grimpoteuthis hippocrepium,Octopoda,order,11718,FALSE,worms
grimpoteuthis hippocrepium,Cirrata,suborder,11732,FALSE,worms
grimpoteuthis hippocrepium,Opisthoteuthidae,family,23083,FALSE,worms
grimpoteuthis hippocrepium,Grimpoteuthis,genus,138293,FALSE,worms
grimpoteuthis hippocrepium,Grimpoteuthis hippocrepium,species,342086,FALSE,worms
grimpoteuthis innominata,Animalia,kingdom,2,FALSE,worms
grimpoteuthis innominata,Mollusca,phylum,51,FALSE,worms
grimpoteuthis innominata,Cephalopoda,class,11707,FALSE,worms
grimpoteuthis innominata,Coleoidea,subclass,11709,FALSE,worms
grimpoteuthis innominata,Octopodiformes,superorder,325343,FALSE,worms
grimpoteuthis innominata,Octopoda,order,11718,FALSE,worms
grimpoteuthis innominata,Cirrata,suborder,11732,FALSE,worms
grimpoteuthis innominata,Opisthoteuthidae,family,23083,FALSE,worms
grimpoteuthis innominata,Grimpoteuthis,genus,138293,FALSE,worms
grimpoteuthis innominata,Grimpoteuthis innominata,species,410363,FALSE,worms
grimpoteuthis meangensis,Animalia,kingdom,2,FALSE,worms
grimpoteuthis meangensis,Mollusca,phylum,51,FALSE,worms
grimpoteuthis meangensis,Cephalopoda,class,11707,FALSE,worms
grimpoteuthis meangensis,Coleoidea,subclass,11709,FALSE,worms
grimpoteuthis meangensis,Octopodiformes,superorder,325343,FALSE,worms
grimpoteuthis meangensis,Octopoda,order,11718,FALSE,worms
grimpoteuthis meangensis,Cirrata,suborder,11732,FALSE,worms
grimpoteuthis meangensis,Opisthoteuthidae,family,23083,FALSE,worms
grimpoteuthis meangensis,Grimpoteuthis,genus,138293,FALSE,worms
grimpoteuthis meangensis,Grimpoteuthis meangensis,species,342088,FALSE,worms
grimpoteuthis megaptera,Animalia,kingdom,2,FALSE,worms
grimpoteuthis megaptera,Mollusca,phylum,51,FALSE,worms
grimpoteuthis megaptera,Cephalopoda,class,11707,FALSE,worms
grimpoteuthis megaptera,Coleoidea,subclass,11709,FALSE,worms
grimpoteuthis megaptera,Octopodiformes,superorder,325343,FALSE,worms
grimpoteuthis megaptera,Octopoda,order,11718,FALSE,worms
grimpoteuthis megaptera,Cirrata,suborder,11732,FALSE,worms
grimpoteuthis megaptera,Opisthoteuthidae,family,23083,FALSE,worms
grimpoteuthis megaptera,Grimpoteuthis,genus,138293,FALSE,worms
grimpoteuthis megaptera,Grimpoteuthis megaptera,species,157020,FALSE,worms
grimpoteuthis pacifica,Animalia,kingdom,2,FALSE,worms
grimpoteuthis pacifica,Mollusca,phylum,51,FALSE,worms
grimpoteuthis pacifica,Cephalopoda,class,11707,FALSE,worms
grimpoteuthis pacifica,Coleoidea,subclass,11709,FALSE,worms
grimpoteuthis pacifica,Octopodiformes,superorder,325343,FALSE,worms
grimpoteuthis pacifica,Octopoda,order,11718,FALSE,worms
grimpoteuthis pacifica,Cirrata,suborder,11732,FALSE,worms
grimpoteuthis pacifica,Opisthoteuthidae,family,23083,FALSE,worms
grimpoteuthis pacifica,Grimpoteuthis,genus,138293,FALSE,worms
grimpoteuthis pacifica,Grimpoteuthis pacifica,species,342089,FALSE,worms
grimpoteuthis plena,Animalia,kingdom,2,FALSE,worms
grimpoteuthis plena,Mollusca,phylum,51,FALSE,worms
grimpoteuthis plena,Cephalopoda,class,11707,FALSE,worms
grimpoteuthis plena,Coleoidea,subclass,11709,FALSE,worms
grimpoteuthis plena,Octopodiformes,superorder,325343,FALSE,worms
grimpoteuthis plena,Octopoda,order,11718,FALSE,worms
grimpoteuthis plena,Cirrata,suborder,11732,FALSE,worms
grimpoteuthis plena,Opisthoteuthidae,family,23083,FALSE,worms
grimpoteuthis plena,Grimpoteuthis,genus,138293,FALSE,worms
grimpoteuthis plena,Grimpoteuthis plena,species,157021,FALSE,worms
grimpoteuthis tuftsi,Animalia,kingdom,2,FALSE,worms
grimpoteuthis tuftsi,Mollusca,phylum,51,FALSE,worms
grimpoteuthis tuftsi,Cephalopoda,class,11707,FALSE,worms
grimpoteuthis tuftsi,Coleoidea,subclass,11709,FALSE,worms
grimpoteuthis tuftsi,Octopodiformes,superorder,325343,FALSE,worms
grimpoteuthis tuftsi,Octopoda,order,11718,FALSE,worms
grimpoteuthis tuftsi,Cirrata,suborder,11732,FALSE,worms
grimpoteuthis tuftsi,Opisthoteuthidae,family,23083,FALSE,worms
grimpoteuthis tuftsi,Grimpoteuthis,genus,138293,FALSE,worms
grimpoteuthis tuftsi,Grimpoteuthis tuftsi,species,342090,FALSE,worms
grimpoteuthis umbellata,Animalia,kingdom,2,FALSE,worms
grimpoteuthis umbellata,Mollusca,phylum,51,FALSE,worms
grimpoteuthis umbellata,Cephalopoda,class,11707,FALSE,worms
grimpoteuthis umbellata,Coleoidea,subclass,11709,FALSE,worms
grimpoteuthis umbellata,Octopodiformes,superorder,325343,FALSE,worms
grimpoteuthis umbellata,Octopoda,order,11718,FALSE,worms
grimpoteuthis umbellata,Cirrata,suborder,11732,FALSE,worms
grimpoteuthis umbellata,Opisthoteuthidae,family,23083,FALSE,worms
grimpoteuthis umbellata,Grimpoteuthis,genus,138293,FALSE,worms
grimpoteuthis umbellata,Grimpoteuthis umbellata,species,153141,FALSE,worms
grimpoteuthis wuelkeri,Animalia,kingdom,2,FALSE,worms
grimpoteuthis wuelkeri,Mollusca,phylum,51,FALSE,worms
grimpoteuthis wuelkeri,Cephalopoda,class,11707,FALSE,worms
grimpoteuthis wuelkeri,Coleoidea,subclass,11709,FALSE,worms
grimpoteuthis wuelkeri,Octopodiformes,superorder,325343,FALSE,worms
grimpoteuthis wuelkeri,Octopoda,order,11718,FALSE,worms
grimpoteuthis wuelkeri,Cirrata,suborder,11732,FALSE,worms
grimpoteuthis wuelkeri,Opisthoteuthidae,family,23083,FALSE,worms
grimpoteuthis wuelkeri,Grimpoteuthis,genus,138293,FALSE,worms
grimpoteuthis wuelkeri,Grimpoteuthis wuelkeri,species,153094,FALSE,worms
haliphron,Animalia,kingdom,2,FALSE,worms
haliphron,Mollusca,phylum,51,FALSE,worms
haliphron,Cephalopoda,class,11707,FALSE,worms
haliphron,Coleoidea,subclass,11709,FALSE,worms
haliphron,Octopodiformes,superorder,325343,FALSE,worms
haliphron,Octopoda,order,11718,FALSE,worms
haliphron,Incirrata,suborder,11733,FALSE,worms
haliphron,Argonautoidea,superfamily,14673,FALSE,worms
haliphron,Alloposidae,family,11786,FALSE,worms
haliphron,Haliphron,genus,137643,FALSE,worms
hapalochlaena,Animalia,kingdom,2,FALSE,worms
hapalochlaena,Mollusca,phylum,51,FALSE,worms
hapalochlaena,Cephalopoda,class,11707,FALSE,worms
hapalochlaena,Coleoidea,subclass,11709,FALSE,worms
hapalochlaena,Octopodiformes,superorder,325343,FALSE,worms
hapalochlaena,Octopoda,order,11718,FALSE,worms
hapalochlaena,Incirrata,suborder,11733,FALSE,worms
hapalochlaena,Octopodoidea,superfamily,14672,FALSE,worms
hapalochlaena,Octopodidae,family,11782,FALSE,worms
hapalochlaena,Hapalochlaena,genus,341430,FALSE,worms
hapalochlaena lunulata,Animalia,kingdom,2,FALSE,worms
hapalochlaena lunulata,Mollusca,phylum,51,FALSE,worms
hapalochlaena lunulata,Cephalopoda,class,11707,FALSE,worms
hapalochlaena lunulata,Coleoidea,subclass,11709,FALSE,worms
hapalochlaena lunulata,Octopodiformes,superorder,325343,FALSE,worms
hapalochlaena lunulata,Octopoda,order,11718,FALSE,worms
hapalochlaena lunulata,Incirrata,suborder,11733,FALSE,worms
